Statistical profiling result from isolate-0x103000c00-v8.log, (5362 ticks, 650 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *pull /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/pull.js:3:32
      2    0.0%    0.0%  LazyCompile: *overRest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/lodash/_overRest.js:15:18
      2    0.0%    0.0%  LazyCompile: *onFrameBody /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:112:52
      2    0.0%    0.0%  LazyCompile: *module.exports /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-defer/sink.js:1:89
      2    0.0%    0.0%  LazyCompile: *map native array.js:833:18
      2    0.0%    0.0%  LazyCompile: *join /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/base/buffer.js:91:45
      2    0.0%    0.0%  LazyCompile: *getPeerInfo /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/interface-connection/src/connection.js:25:15
      2    0.0%    0.0%  LazyCompile: *get native collection.js:242:16
      2    0.0%    0.0%  LazyCompile: *get bytes /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-crypto/src/keys/rsa.js:23:13
      2    0.0%    0.0%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multistream-select/src/util.js:15:17
      2    0.0%    0.0%  LazyCompile: *encode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/asn1.js/lib/asn1/base/node.js:495:46
      2    0.0%    0.0%  LazyCompile: *drain /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-pushable/index.js:52:18
      2    0.0%    0.0%  LazyCompile: *decode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/protocol-buffers/encodings.js:78:25
      2    0.0%    0.0%  LazyCompile: *decode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/protocol-buffers/encodings.js:42:25
      2    0.0%    0.0%  LazyCompile: *coerceCode /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multihashes/src/index.js:80:42
      2    0.0%    0.0%  LazyCompile: *apply /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/lodash/_apply.js:11:15
      2    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:226:36
      2    0.0%    0.0%  LazyCompile: *Readable.on _stream_readable.js:686:33
      2    0.0%    0.0%  LazyCompile: *Object.keys.forEach /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-swarm/src/protocol-muxer.js:8:34
      2    0.0%    0.0%  LazyCompile: *Multiaddr /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/multiaddr/src/index.js:12:20
      2    0.0%    0.0%  LazyCompile: *LazyTransform internal/streams/lazy_transform.js:11:23
      2    0.0%    0.0%  LazyCompile: *InnerArrayForEach native array.js:777:27
      2    0.0%    0.0%  LazyCompile: *FastBuffer buffer.js:10:14
      2    0.0%    0.0%  LazyCompile: *EventEmitter events.js:11:22
